θ,7.88125500e-15
A,4.38556000e+03
Ygc,-1.23530946e+02
Zgc,7.50000000e+01
Ysc,-3.78542302e+01
Zsc,7.50000481e+01
Vsc,8.56767156e+01
Wsc,4.81468171e-05
J,1.25047191e+05
Iω,2.81016951e+10
Iyy,3.39385638e+06
Izz,6.01184351e+07
Iyz,-7.80268413e-09
Qy,3.28917000e+05
Qz,-5.41752375e+05
βy,-9.62936333e-05
βz,-2.06815616e+02
βω,9.80715929e-06
ky,4.55265723e-01
kz,3.78909202e-01
Syy,0.00000000e+00
Szz,0.00000000e+00
Zyy,0.00000000e+00
Zzz,0.00000000e+00
ry,2.78185315e+01
rz,1.17082316e+02
Ivv,3.39385638e+06
Iww,6.01184351e+07
Qv,0.00000000e+00
Qw,0.00000000e+00
βv,-9.62936335e-05
βw,-2.06815616e+02
kv,4.55265723e-01
kw,3.78909202e-01
Svv,0.00000000e+00
Sww,0.00000000e+00
Zvv,0.00000000e+00
Zww,0.00000000e+00
rv,2.78185315e+01
rw,1.17082316e+02
