θ,7.90915228e+01
A,1.17138926e+05
Ygc,-3.02122331e+02
Zgc,5.62383179e+02
Ysc,-2.50957032e+02
Zsc,4.59836967e+02
Vsc,1.10375834e+02
Wsc,3.08348596e+01
J,2.04708893e+10
Iω,2.08625612e+13
Iyy,4.94725928e+09
Izz,2.31396234e+09
Iyz,-5.27073808e+08
Qy,6.58769614e+07
Qz,-3.53902853e+07
βy,-3.25702904e+01
βz,8.02972890e+01
βω,1.01196940e+00
ky,1.21149303e-01
kz,7.00124707e-02
Syy,0.00000000e+00
Szz,0.00000000e+00
Zyy,0.00000000e+00
Zzz,0.00000000e+00
ry,2.05509412e+02
rz,1.40548924e+02
Ivv,2.21238305e+09
Iww,5.04883858e+09
Qv,0.00000000e+00
Qw,0.00000000e+00
βv,2.53191957e+01
βw,2.37611193e+01
kv,7.82587037e-03
kw,7.74805786e-02
Svv,0.00000000e+00
Sww,0.00000000e+00
Zvv,0.00000000e+00
Zww,0.00000000e+00
rv,1.37429366e+02
rw,2.07608497e+02
