Fiber ID,Group ID,Point I,Point J,Point K,Area,cy,cz
110,0.0,290,283,282,47.346830390058926,178.4496671866093,11.920695356692704
111,0.0,277,509,100,42.5325465926752,146.7738888005524,16.036492155659204
112,0.0,6,514,287,59.46629633067414,175.62297799193038,38.05367523833115
113,0.0,5,103,446,52.5,164.33333333333303,34.00000000000006
114,0.0,454,298,456,41.08310775740574,134.788892607575,53.26252453599102
115,0.0,452,63,97,52.5,147.16666666666674,34.0
116,0.0,49,97,62,31.231724179397588,139.375,27.62044006252205
117,0.0,48,49,296,48.0,133.66666666666657,38.0
118,0.0,118,135,116,44.27722636506496,80.72223345535895,181.02489261594565
119,0.0,118,66,299,44.149610391785245,76.66666666666657,173.3637798393744
120,0.0,120,134,125,34.56140204166422,51.13902759871118,189.8127540546003
121,0.0,11,138,349,52.5,35.66666666666663,166.00000000000023
122,0.0,199,203,205,27.68982025191417,73.68018121940565,139.38369775057004
123,0.0,213,67,119,52.5,52.83333333333337,166.00000000000006
124,0.0,487,122,259,48.075706908241955,22.547546143129438,193.48522284217597
125,0.0,11,256,258,45.02150509651278,24.054135934392377,171.8445650550334
126,0.0,54,145,142,31.231724179397133,139.37500000000045,172.37955993747846
127,0.0,70,71,302,48.0,150.83333333333314,162.0000000000001
128,0.0,171,165,170,45.281261458296285,127.2200782108057,126.60353439837627
129,0.0,314,10,9,48.0,167.33333333333348,162.00000000000023
130,0.0,72,141,160,52.5,121.58333333333331,166.0
131,0.0,72,159,164,46.75610441873141,124.59240654124551,154.3328545553925
132,0.0,155,157,10,30.060631335913058,169.5553713412719,175.5440440655466
133,0.0,325,158,306,47.59619477950764,183.3969274252579,159.79280720958354
134,0.0,176,177,74,40.75587256075369,85.03551477263909,90.3466628159274
135,0.0,177,178,347,28.9695201853433,85.11092983584706,77.84239772194996
136,0.0,220,210,212,62.87751010815373,58.74053054991384,116.47533414646023
137,0.0,205,201,208,53.204757481858906,71.059496339828,149.1571715775433
138,0.0,76,22,176,52.852466209199065,89.57923423495356,99.99999999999955
139,0.0,76,261,262,32.73310791755148,80.24750303543931,106.50000000000068
140,0.0,355,267,77,55.3312105358209,127.8600489623617,86.58760729544156
141,0.0,410,298,296,31.733333333333576,126.73333333333312,47.46666666666647
142,0.0,78,266,267,55.848093843553215,124.9358149628016,96.0790593712261
143,0.0,264,355,263,53.45287415896382,116.02934115091443,86.5876072954411
144,0.0,172,173,344,41.025890404035636,115.14201799714874,120.66106992559685
145,0.0,79,175,266,43.004401058438816,120.44894850638343,107.0116379726527
146,0.0,14,20,81,52.5,95.41666666666663,33.99999999999997
147,0.0,270,271,272,37.54543958217005,70.99999999999997,48.25757326369501
148,0.0,275,392,394,29.7463348639387,57.91938382019771,10.144985869618615
149,0.0,517,461,516,27.847039815525818,38.33269783570202,46.81484790768124
150,0.0,230,367,241,33.00716147874414,12.536488924306198,100.03780864943371
151,0.0,183,56,261,41.98418889008008,73.14233163874164,100.99484380334616
152,0.0,270,45,46,48.0,66.33333333333334,38.0
153,0.0,84,58,83,48.0,83.0,46.0
154,0.0,81,90,59,33.31584508173228,86.875,27.461649898534702
155,0.0,179,178,26,40.07293673726008,90.07599557718427,72.41666666666667
156,0.0,20,87,86,52.780836613248994,101.45833333333331,24.244532238298575
157,0.0,87,20,104,45.51935551816496,105.83333333333337,26.531858627187404
158,0.0,388,387,386,39.033261680327996,79.13460540980728,11.573448023379555
159,0.0,101,409,49,33.211601759058794,130.62500000000045,27.46959224692887
160,0.0,510,96,505,34.07336775650981,117.37359876772598,17.388619301091012
161,0.0,385,90,86,31.642928920235818,90.29024830094141,20.26799415009482
162,0.0,91,387,388,35.531030837910976,76.09705505329981,15.566481341393455
163,0.0,90,385,387,25.55627848241454,85.36095440527663,18.185147119567603
164,0.0,378,92,61,35.31008739558706,43.12499999999997,27.309707627002886
165,0.0,269,91,45,44.149610391785245,70.83333333333329,26.636220160625882
166,0.0,394,392,390,33.949075902233545,59.502601019906194,5.186710603097698
167,0.0,4,92,468,41.36175212744786,34.630810284649726,26.848628409337294
168,0.0,461,4,15,48.0,32.66666666666666,38.0
169,0.0,464,61,60,51.0,49.33333333333334,37.999999999999986
170,0.0,393,275,395,31.726225518051706,57.705537265917016,19.680289591816518
171,0.0,452,97,48,49.5,142.00000000000017,38.0
172,0.0,289,102,290,49.30014396620459,181.06640401857885,2.6293410115309115
173,0.0,485,406,484,31.237969324481128,143.94698600894947,72.65421045284506
174,0.0,437,440,435,56.17382386767531,187.40934102032827,73.76185638523884
