Point ID,Y,Z
0,0.0,0.0
1,200.0,0.0
2,200.0,200.0
3,0.0,200.0
4,30.0,30.0
5,170.0,30.0
6,170.0,42.0
7,105.0,42.0
8,105.0,158.0
9,170.0,158.0
10,170.0,170.0
11,30.0,170.0
12,30.0,158.0
13,95.0,158.0
14,95.0,42.0
15,30.0,42.0
16,100.0,0.0
17,200.0,100.0
18,100.0,200.0
19,0.0,100.0
20,100.0,30.0
21,100.0,170.0
22,95.0,100.0
23,105.0,100.0
24,105.0,126.0
25,95.0,126.0
26,95.0,74.0
27,105.0,74.0
28,95.0,113.0
29,105.0,113.0
30,95.0,142.0
31,105.0,142.0
32,105.0,87.0
33,95.0,87.0
34,105.0,58.0
35,95.0,58.0
36,100.0,119.5
37,95.0,106.5
38,95.0,150.0
39,105.0,134.0
40,95.0,80.5
41,100.0,93.5
42,95.0,50.0
43,95.0,66.0
44,0.0,50.0
45,65.0,30.0
46,63.0,42.0
47,200.0,50.0
48,137.0,42.0
49,135.0,30.0
50,65.0,170.0
51,63.0,158.0
52,0.0,150.0
53,138.0,158.0
54,135.0,170.0
55,200.0,150.0
56,71.95458626326217,106.5
57,128.04541373673783,106.5
58,87.0,42.0
59,82.5,30.0
60,46.0,42.0
61,47.5,30.0
62,139.375,22.861320187566275
63,152.5,30.0
64,153.5,42.0
65,117.5,30.0
66,82.5,170.0
67,47.5,170.0
68,46.5,158.0
69,148.125,179.60663290061512
70,152.5,170.0
71,154.0,158.0
72,121.0,158.0
73,126.25,180.27247882787785
74,80.72728826194324,93.5
75,80.72728826194326,119.5
76,84.39396142152704,106.5
77,128.04541373673783,80.5
78,119.27271173805674,93.5
79,115.60603857847296,106.5
80,0.0,25.0
81,91.25,30.0
82,17.259433962264147,50.50462962962963
83,79.0,42.0
84,83.0,54.0
85,95.625,15.0
86,95.625,23.138020833333332
87,108.75,19.595575881562304
88,75.0,0.0
89,50.0,0.0
90,86.875,22.38494969560405
91,73.75,19.90866048187766
92,38.75,30.0
93,56.25,30.0
94,200.0,25.0
95,182.74056603773585,50.50462962962963
96,121.875,17.43913943429404
97,143.75,30.0
98,150.0,0.0
99,200.0,75.0
100,148.125,22.40877674078655
101,130.625,22.40877674078655
102,175.0,0.0
103,161.25,30.0
104,108.75,30.0
105,121.0,42.0
106,113.0,42.0
107,105.0,50.0
108,117.0,54.0
109,91.25,170.0
110,79.0,158.0
111,50.0,200.0
112,95.625,185.0
113,87.0,158.0
114,83.0,146.0
115,95.625,176.86197916666666
116,86.875,177.61505030439596
117,125.0,200.0
118,73.75,180.09133951812234
119,56.25,170.0
120,51.875,184.73958333333334
121,51.875,176.7204983804476
122,25.0,200.0
123,75.0,200.0
124,60.625,177.6323932894666
125,55.233227945214374,192.8975944176145
126,59.48326703711502,185.1666172801118
127,62.5,200.0
128,67.07262657448646,183.91078630539377
129,73.73636178218058,190.62504270222462
130,37.5,200.0
131,64.49133361086884,191.87155860784432
132,87.5,200.0
133,39.525919740118724,180.73004085689047
134,46.30885485091932,191.80108441285472
