LF,ID,UX,UY,UZ,RX,RY,RZ,B
5.0,0,0.0,0.0,0.0,0.0,0.0,0.001157487788503831,0.0
5.0,1,0.0,0.0017362316827557467,-0.0,0.0,0.0,4.1591044569169045e-20,0.0
5.0,2,0.0,0.0,0.0,0.0,0.0,-0.001157487788503831,0.0
