LF,ID,FX1,FY1,FZ1,MX1,MY1,MZ1,MB1,FX2,FY2,FZ2,MX2,MY2,MZ2,MB2
5.0,0,0.0,1.018791609963543e-06,0.0,0.0,0.0,5.000001528187415,0.0,0.0,-1.018791609963543e-06,0.0,0.0,0.0,-4.999998471812585,0.0
5.0,1,0.0,-1.018791609963543e-06,0.0,0.0,0.0,4.999998471812585,0.0,0.0,1.018791609963543e-06,0.0,0.0,0.0,-5.000001528187415,0.0
