LF,ID,UX,UY,UZ,RX,RY,RZ,B
5.0,0,0.0,1.018791609963543e-06,0.0,0.0,0.0,0.0,0.0
5.0,1,0.0,1.018791609963543e-06,0.0,0.0,0.0,0.0,0.0
