% American Institute of Steel Construction, 2017.  All values are inches raised to the appropriate power.
% Shape, D, B1(2), t3, t1(2), k, k1, T
W27X336	30.0	14.6	1.26	2.28	3.07	1.81	23
W27X307	29.6	14.4	1.16	2.09	2.88	1.81	23
W27X281	29.3	14.4	1.06	1.93	2.72	1.75	23
W27X258	29.0	14.3	0.980	1.77	2.56	1.69	23
W27X235	28.7	14.2	0.910	1.61	2.40	1.69	23
W27X217	28.4	14.1	0.830	1.5	2.29	1.63	23
W27X194	28.1	14.0	0.750	1.34	2.13	1.56	23
W27X178	27.8	14.1	0.725	1.19	1.98	1.56	23
W27X161	27.6	14.0	0.660	1.08	1.87	1.56	23
W27X146	27.4	14.0	0.605	0.975	1.76	1.50	23
W27X129	27.6	10.0	0.610	1.1	1.70	1.50	23
W27X114	27.3	10.1	0.570	0.93	1.53	1.50	23
W27X102	27.1	10.0	0.515	0.83	1.43	1.44	23
W27X94	26.9	10.0	0.490	0.745	1.34	1.44	23
W27X84	26.7	10.0	0.460	0.64	1.24	1.44	23
W24X370	28.0	13.7	1.52	2.72	3.22	2.00	20
W24X335	27.5	13.5	1.38	2.48	2.98	1.88	20
W24X306	27.1	13.4	1.26	2.28	2.78	1.81	20
W24X279	26.7	13.3	1.16	2.09	2.59	1.81	20
W24X250	26.3	13.2	1.04	1.89	2.39	1.75	20
W24X229	26.0	13.1	0.960	1.73	2.23	1.69	20
W24X207	25.7	13.0	0.870	1.57	2.07	1.63	20
W24X192	25.5	13.0	0.810	1.46	1.96	1.63	20
W24X176	25.2	12.9	0.750	1.34	1.84	1.56	20
W24X162	25.0	13.0	0.705	1.22	1.72	1.56	20
W24X146	24.7	12.9	0.650	1.09	1.59	1.56	20
W24X131	24.5	12.9	0.605	0.96	1.46	1.50	20
W24X117	24.3	12.8	0.550	0.85	1.35	1.50	20
W24X104	24.1	12.8	0.500	0.75	1.25	1.44	20
W24X103	24.5	9.00	0.550	0.98	1.48	1.50	20
W24X94	24.3	9.07	0.515	0.875	1.38	1.44	20
W24X84	24.1	9.02	0.470	0.77	1.27	1.44	20
W24X76	23.9	8.99	0.440	0.68	1.18	1.44	20
W24X68	23.7	8.97	0.415	0.585	1.09	1.44	20
W24X62	23.7	7.04	0.430	0.59	1.09	1.06	20.75
W24X55	23.6	7.01	0.395	0.505	1.01	1.00	20.75
W21X275	24.1	12.9	1.22	2.19	3.37	1.81	17.25
W21X248	23.7	12.8	1.10	1.99	3.17	1.75	17.25
W21X223	23.4	12.7	1.00	1.79	2.97	1.69	17.25
W21X201	23.0	12.6	0.910	1.63	2.13	1.69	17.25
W21X182	22.7	12.5	0.830	1.48	1.98	1.63	17.25
W21X166	22.5	12.4	0.750	1.36	1.86	1.56	17.25
W21X147	22.1	12.5	0.720	1.15	1.65	1.56	17.25
W21X132	21.8	12.4	0.650	1.04	1.54	1.56	17.25
