% American Institute of Steel Construction, 2017.  All values are in SI units raised to the appropriate power.
% Shape, D, B1(2), t3, t1(2), k, k1, T
W760X134	749.3	264.16	11.938	15.494	32.004	36.576	654.05
W690X802	825.5	388.62	50.038	89.916	109.982	45.974	584.2
W690X548	772.16	373.38	35.052	62.992	83.058	47.752	584.2
W690X500	762	370.84	32.004	57.912	77.978	45.974	584.2
W690X457	751.84	365.76	29.464	53.086	73.152	45.974	584.2
W690X419	744.22	365.76	26.924	49.022	69.088	44.45	584.2
W690X384	736.6	363.22	24.892	44.958	65.024	42.926	584.2
W690X350	728.98	360.68	23.114	40.894	60.96	42.926	584.2
W690X323	721.36	358.14	21.082	38.1	58.166	41.402	584.2
W690X289	713.74	355.6	19.05	34.036	54.102	39.624	584.2
W690X265	706.12	358.14	18.415	30.226	50.292	39.624	584.2
W690X240	701.04	355.6	16.764	27.432	47.498	39.624	584.2
W690X217	695.96	355.6	15.367	24.765	44.704	38.1	584.2
W690X92	701.04	254	15.494	27.94	43.18	38.1	584.2
W690X170	693.42	256.54	14.478	23.622	38.862	38.1	584.2
W690X152	688.34	254	13.081	21.082	36.322	36.576	584.2
W690X140	683.26	254	12.446	18.923	34.036	36.576	584.2
W690X125	678.18	254	11.684	16.256	31.496	36.576	584.2
W610X551	711.2	347.98	38.608	69.088	81.788	50.8	508
W610X498	698.5	342.9	35.052	62.992	75.692	47.752	508
W610X455	688.34	340.36	32.004	57.912	70.612	45.974	508
W610X415	678.18	337.82	29.464	53.086	65.786	45.974	508
W610X372	668.02	335.28	26.416	48.006	60.706	44.45	508
W610X341	660.4	332.74	24.384	43.942	56.642	42.926	508
W610X307	652.78	330.2	22.098	39.878	52.578	41.402	508
W610X285	647.7	330.2	20.574	37.084	49.784	41.402	508
W610X262	640.08	327.66	19.05	34.036	46.736	39.624	508
W610X241	635	330.2	17.907	30.988	43.688	39.624	508
W610X217	627.38	327.66	16.51	27.686	40.386	39.624	508
W610X195	622.3	327.66	15.367	24.384	37.084	38.1	508
W610X174	617.22	325.12	13.97	21.59	34.29	38.1	508
W610X155	612.14	325.12	12.7	19.05	31.75	36.576	508
W610X153	622.3	228.6	13.97	24.892	37.592	38.1	508
W610X140	617.22	230.378	13.081	22.225	35.052	36.576	508
W610X125	612.14	229.108	11.938	19.558	32.258	36.576	508
W610X113	607.06	228.346	11.176	17.272	29.972	36.576	508
