% American Institute of Steel Construction, 2017.  All values are inches raised to the appropriate power.
% Shape, D, B, t2, t1, k
WT12X185	14.0	13.7	1.52	2.72	3.22
WT12X167.5	13.8	13.5	1.38	2.48	2.98
WT12X153	13.6	13.4	1.26	2.28	2.78
WT12X139.5	13.4	13.3	1.16	2.09	2.59
WT12X125	13.2	13.2	1.04	1.89	2.39
WT12X114.5	13.0	13.1	0.960	1.73	2.23
WT12X103.5	12.9	13.0	0.870	1.57	2.07
WT12X96	12.7	13.0	0.810	1.46	1.96
WT12X88	12.6	12.9	0.750	1.34	1.84
WT12X81	12.5	13.0	0.705	1.22	1.72
WT12X73	12.4	12.9	0.650	1.09	1.59
WT12X65.5	12.2	12.9	0.605	0.960	1.46
WT12X58.5	12.1	12.8	0.550	0.850	1.35
WT12X52	12.0	12.8	0.500	0.750	1.25
WT12X51.5	12.3	9.00	0.550	0.980	1.48
WT12X47	12.2	9.07	0.515	0.875	1.38
WT12X42	12.1	9.02	0.470	0.770	1.27
WT12X38	12.0	8.99	0.440	0.680	1.18
WT12X34	11.9	8.97	0.415	0.585	1.09
WT12X31	11.9	7.04	0.430	0.590	1.09
WT12X27.5	11.8	7.01	0.395	0.505	1.01
WT10.5X137.5	12.1	12.9	1.22	2.19	3.37
WT10.5X124	11.9	12.8	1.10	1.99	3.17
WT10.5X111.5	11.7	12.7	1.00	1.79	2.97
WT10.5X100.5	11.5	12.6	0.910	1.63	2.13
WT10.5X91	11.4	12.5	0.830	1.48	1.98
WT10.5X83	11.2	12.4	0.750	1.36	1.86
WT10.5X73.5	11.0	12.5	0.720	1.15	1.65
WT10.5X66	10.9	12.4	0.650	1.04	1.54
WT10.5X61	10.8	12.4	0.600	0.960	1.46
WT10.5X55.5	10.8	12.3	0.550	0.875	1.38
WT10.5X50.5	10.7	12.3	0.500	0.800	1.30
WT10.5X46.5	10.8	8.42	0.580	0.930	1.43
WT10.5X41.5	10.7	8.36	0.515	0.835	1.34
WT10.5X36.5	10.6	8.30	0.455	0.740	1.24
WT10.5X34	10.6	8.27	0.430	0.685	1.19
WT10.5X31	10.5	8.24	0.400	0.615	1.12
WT10.5X27.5	10.4	8.22	0.375	0.522	1.02
WT10.5X24	10.3	8.14	0.350	0.430	0.930
WT10.5X28.5	10.5	6.56	0.405	0.650	1.15
WT10.5X25	10.4	6.53	0.380	0.535	1.04
WT10.5X22	10.3	6.50	0.350	0.450	0.950
WT9X155.5	11.2	12.0	1.52	2.74	3.24
WT9X141.5	10.9	11.9	1.40	2.50	3.00
WT9X129	10.7	11.8	1.28	2.30	2.70
WT9X117	10.5	11.7	1.16	2.11	2.51
WT9X105.5	10.3	11.6	1.06	1.91	2.31
WT9X96	10.2	11.5	0.960	1.75	2.15
WT9X87.5	10.0	11.4	0.890	1.59	1.99
WT9X79	9.86	11.3	0.810	1.44	1.84
WT9X71.5	9.75	11.2	0.730	1.32	1.72
WT9X65	9.63	11.2	0.670	1.20	1.60
WT9X59.5	9.49	11.3	0.655	1.06	1.46
WT9X53	9.37	11.2	0.590	0.940	1.34
WT9X48.5	9.30	11.1	0.535	0.870	1.27
WT9X43	9.20	11.1	0.480	0.770	1.17
WT9X38	9.11	11.0	0.425	0.680	1.08
WT9X35.5	9.24	7.64	0.495	0.810	1.21
WT9X32.5	9.18	7.59	0.450	0.750	1.15
WT9X30	9.12	7.56	0.415	0.695	1.10
WT9X27.5	9.06	7.53	0.390	0.630	1.03
WT9X25	9.00	7.50	0.355	0.570	0.972
WT9X23	9.03	6.06	0.360	0.605	1.01
WT9X20	8.95	6.02	0.315	0.525	0.927
WT9X17.5	8.85	6.00	0.300	0.425	0.827
WT8X50	8.49	10.4	0.585	0.985	1.39
WT8X44.5	8.38	10.4	0.525	0.875	1.28
WT8X38.5	8.26	10.3	0.455	0.760	1.16
WT8X33.5	8.17	10.2	0.395	0.665	1.07
WT8X28.5	8.22	7.12	0.430	0.715	1.12
WT8X25	8.13	7.07	0.380	0.630	1.03
WT8X22.5	8.07	7.04	0.345	0.565	0.967
WT8X20	8.01	7.00	0.305	0.505	0.907
WT8X18	7.93	6.99	0.295	0.430	0.832
WT8X15.5	7.94	5.53	0.275	0.440	0.842
WT8X13	7.85	5.50	0.250	0.345	0.747
WT7X436.5	11.8	18.8	3.94	5.51	6.10
WT7X404	11.4	18.6	3.74	5.12	5.71
WT7X365	11.2	17.9	3.07	4.91	5.51
WT7X332.5	10.8	17.7	2.83	4.52	5.12
WT7X302.5	10.5	17.4	2.60	4.16	4.76
WT7X275	10.1	17.2	2.38	3.82	4.42
WT7X250	9.80	17.0	2.19	3.50	4.10
WT7X227.5	9.51	16.8	2.02	3.21	3.81
WT7X213	9.34	16.7	1.88	3.04	3.63
WT7X199	9.15	16.6	1.77	2.85	3.44
WT7X185	8.96	16.5	1.66	2.66	3.26
WT7X171	8.77	16.4	1.54	2.47	3.07
WT7X155.5	8.56	16.2	1.41	2.26	2.86
WT7X141.5	8.37	16.1	1.29	2.07	2.67
WT7X128.5	8.19	16.0	1.18	1.89	2.49
WT7X116.5	8.02	15.9	1.07	1.72	2.32
WT7X105.5	7.86	15.8	0.980	1.56	2.16
WT7X96.5	7.74	15.7	0.890	1.44	2.04
WT7X88	7.61	15.7	0.830	1.31	1.91
WT7X79.5	7.49	15.6	0.745	1.19	1.79
WT7X72.5	7.39	15.5	0.680	1.09	1.69
WT7X66	7.33	14.7	0.645	1.03	1.63
WT7X60	7.24	14.7	0.590	0.940	1.54
WT7X54.5	7.16	14.6	0.525	0.860	1.46
WT7X49.5	7.08	14.6	0.485	0.780	1.38
WT7X45	7.01	14.5	0.440	0.710	1.31
WT7X41	7.16	10.1	0.510	0.855	1.45
WT7X37	7.09	10.1	0.450	0.785	1.38
WT7X34	7.02	10.0	0.415	0.720	1.31
