% American Institute of Steel Construction, 2017.  All values are inches raised to the appropriate power.
% Shape, D, B, t2, t1, k
WT305X227.5	345.44	340.36	32.004	57.912	70.612
WT305X207.5	340.36	337.82	29.464	53.086	65.786
WT305X186	335.28	335.28	26.416	48.006	60.706
WT305X170.5	330.2	332.74	24.384	43.942	56.642
WT305X153.5	327.66	330.2	22.098	39.878	52.578
WT305X142.5	322.58	330.2	20.574	37.084	49.784
WT305X131	320.04	327.66	19.05	34.036	46.736
WT305X120.5	317.5	330.2	17.907	30.988	43.688
WT305X108.5	314.96	327.66	16.51	27.686	40.386
WT305X97.5	309.88	327.66	15.367	24.384	37.084
WT305X87	307.34	325.12	13.97	21.59	34.29
WT305X77.5	304.8	325.12	12.7	19.05	31.75
WT305X76.5	312.42	228.6	13.97	24.892	37.592
WT305X70	309.88	230.378	13.081	22.225	35.052
WT305X62.5	307.34	229.108	11.938	19.558	32.258
WT305X56.5	304.8	228.346	11.176	17.272	29.972
WT305X50.5	302.26	227.838	10.541	14.859	27.686
WT305X46	302.26	178.816	10.922	14.986	27.686
WT305X41	299.72	178.054	10.033	12.827	25.654
WT265X204.5	307.34	327.66	30.988	55.626	85.598
WT265X184.5	302.26	325.12	27.94	50.546	80.518
WT265X166	297.18	322.58	25.4	45.466	75.438
WT265X150	292.1	320.04	23.114	41.402	54.102
WT265X136	289.56	317.5	21.082	37.592	50.292
WT265X124	284.48	314.96	19.05	34.544	47.244
WT265X109.5	279.4	317.5	18.288	29.21	41.91
WT265X98	276.86	314.96	16.51	26.416	39.116
WT265X91	274.32	314.96	15.24	24.384	37.084
WT265X82.5	274.32	312.42	13.97	22.225	35.052
WT265X75	271.78	312.42	12.7	20.32	33.02
WT265X69	274.32	213.868	14.732	23.622	36.322
WT265X61.5	271.78	212.344	13.081	21.209	34.036
WT265X54.5	269.24	210.82	11.557	18.796	31.496
WT265X50.5	269.24	210.058	10.922	17.399	30.226
WT265X46	266.7	209.296	10.16	15.621	28.448
WT265X41	264.16	208.788	9.525	13.259	25.908
WT265X36	261.62	206.756	8.89	10.922	23.622
WT265X42.5	266.7	166.624	10.287	16.51	29.21
WT265X37	264.16	165.862	9.652	13.589	26.416
WT265X33	261.62	165.1	8.89	11.43	24.13
WT230X232	284.48	304.8	38.608	69.596	82.296
WT230X210.5	276.86	302.26	35.56	63.5	76.2
WT230X192	271.78	299.72	32.512	58.42	68.58
WT230X174.5	266.7	297.18	29.464	53.594	63.754
WT230X157.5	261.62	294.64	26.924	48.514	58.674
WT230X143	259.08	292.1	24.384	44.45	54.61
WT230X130	254.0	289.56	22.606	40.386	50.546
WT230X117.5	250.444	287.02	20.574	36.576	46.736
WT230X106.5	247.65	284.48	18.542	33.528	43.688
WT230X96.5	244.602	284.48	17.018	30.48	40.64
WT230X88.5	241.046	287.02	16.637	26.924	37.084
WT230X79	237.998	284.48	14.986	23.876	34.036
WT230X72	236.22	281.94	13.589	22.098	32.258
WT230X64	233.68	281.94	12.192	19.558	29.718
WT230X56.5	231.394	279.4	10.795	17.272	27.432
WT230X53	234.696	194.056	12.573	20.574	30.734
WT230X48.5	233.172	192.786	11.43	19.05	29.21
WT230X44.5	231.648	192.024	10.541	17.653	27.94
WT230X41	230.124	191.262	9.906	16.002	26.162
WT230X37	228.6	190.5	9.017	14.478	24.689
WT230X34	229.362	153.924	9.144	15.367	25.654
WT230X30	227.33	152.908	8.001	13.335	23.546
WT230X26	224.79	152.4	7.62	10.795	21.006
WT205X74.5	215.646	264.16	14.859	25.019	35.306
WT205X66	212.852	264.16	13.335	22.225	32.512
WT205X57	209.804	261.62	11.557	19.304	29.464
WT205X50	207.518	259.08	10.033	16.891	27.178
WT205X42.5	208.788	180.848	10.922	18.161	28.448
WT205X37.5	206.502	179.578	9.652	16.002	26.162
WT205X33.5	204.978	178.816	8.763	14.351	24.562
WT205X30	203.454	177.8	7.747	12.827	23.038
WT205X26.5	201.422	177.546	7.493	10.922	21.133
WT205X23.05	201.676	140.462	6.985	11.176	21.387
WT205X19.4	199.39	139.7	6.35	8.763	18.974
WT180X649.5	299.72	477.52	100.076	139.954	154.94
WT180X601	289.56	472.44	94.996	130.048	145.034
WT180X543	284.48	454.66	77.978	124.714	139.954
WT180X495	274.32	449.58	71.882	114.808	130.048
WT180X450	266.7	441.96	66.04	105.664	120.904
WT180X409	256.54	436.88	60.452	97.028	112.268
WT180X372	248.92	431.8	55.626	88.9	104.14
WT180X338.5	241.554	426.72	51.308	81.534	96.774
WT180X317	237.236	424.18	47.752	77.216	92.202
WT180X296	232.41	421.64	44.958	72.39	87.376
WT180X275.5	227.584	419.1	42.164	67.564	82.804
WT180X254.5	222.758	416.56	39.116	62.738	77.978
WT180X231.5	217.424	411.48	35.814	57.404	72.644
WT180X210.5	212.598	408.94	32.766	52.578	67.818
WT180X191	208.026	406.4	29.972	48.006	63.246
WT180X173.5	203.708	403.86	27.178	43.688	58.928
WT180X157	199.644	401.32	24.892	39.624	54.864
WT180X143.5	196.596	398.78	22.606	36.576	51.816
WT180X131	193.294	398.78	21.082	33.274	48.514
WT180X118.5	190.246	396.24	18.923	30.226	45.466
WT180X108	187.706	393.7	17.272	27.686	42.926
WT180X98	186.182	373.38	16.383	26.162	41.402
WT180X89.5	183.896	373.38	14.986	23.876	39.116
WT180X81	181.864	370.84	13.335	21.844	37.084
WT180X73.5	179.832	370.84	12.319	19.812	35.052
WT180X67	178.054	368.3	11.176	18.034	33.274
WT180X61	181.864	256.54	12.954	21.717	36.83
WT180X55	180.086	256.54	11.43	19.939	35.052
WT180X50.5	178.308	254.0	10.541	18.288	33.274
WT180X45.5	176.53	254.0	9.525	16.383	31.496
WT180X39.5	176.784	204.724	9.398	16.764	31.75
WT180X36	175.26	203.962	8.636	15.113	30.226
WT180X32	173.482	203.2	7.747	13.462	28.448
